CAMIS,DBA,BORO,BUILDING,STREET,CITY,STATE,ZIPCODE,PHONE,CUISINECODE,FULL_ADDR
40546650,GIAN & PIER BAKERY,4,44-17,30 AVENUE,ASTORIA,NY,11103,7182748959,08,"44-17 30 AVENUE, ASTORIA, NY 11103"
40547123,NO.1 CHINESE RESTAURANT,4,30-23,30 AVENUE,ASTORIA,NY,11102,7186263633,20,"30-23 30 AVENUE, ASTORIA, NY 11102"
40551807,"DUNKIN' DONUTS, BASKIN ROBBINS",4,36-02,31 STREET,ASTORIA,NY,11106,7183831000,29,"36-02 31 STREET, ASTORIA, NY 11106"
40551939,KALYMNOS SOCIETY,4,24-03,31 STREET,ASTORIA,NY,11102,7182789866,38,"24-03 31 STREET, ASTORIA, NY 11102"
40557796,LAST STOP RESTAURANT,4,22-35,31 STREET,ASTORIA,NY,11105,7189329419,03,"22-35 31 STREET, ASTORIA, NY 11105"
40559243,COSTCO WHOLESALE,4,32-50,VERNON BOULEVARD,ASTORIA,NY,11106,7182673680,62,"32-50 VERNON BOULEVARD, ASTORIA, NY 11106"
40561796,CAFE BAR,4,32-90,36 STREET,ASTORIA,NY,11106,7182045273,54,"32-90 36 STREET, ASTORIA, NY 11106"
40563069,GUSSY'S BAR,4,20-14,29 STREET,ASTORIA,NY,11105,7187289418,03,"20-14 29 STREET, ASTORIA, NY 11105"
40565141,CARAVAN CHICKEN,4,35-01,BROADWAY,ASTORIA,NY,11106,7185453980,20,"35-01 BROADWAY, ASTORIA, NY 11106"
40572494,BURGER KING,4,33-10,ASTORIA BOULEVARD,ASTORIA,NY,11103,7186265632,39,"33-10 ASTORIA BOULEVARD, ASTORIA, NY 11103"
40576213,EGYPTIAN COFFEE SHOP,4,25-09,STEINWAY STREET,ASTORIA,NY,11103,9178378726,14,"25-09 STEINWAY STREET, ASTORIA, NY 11103"
40576812,BEL-AIRE DINER,4,31-91,21 STREET,ASTORIA,NY,11106,7187213160,03,"31-91 21 STREET, ASTORIA, NY 11106"
40577393,DON COQUI,4,28-18,31 STREET,ASTORIA,NY,11102,7187263995,77,"28-18 31 STREET, ASTORIA, NY 11102"
40582750,BOSTON PIZZA,4,37-02,BROADWAY,ASTORIA,NY,11103,7185456001,62,"37-02 BROADWAY, ASTORIA, NY 11103"
40587835,MCLOUGHLINS BAR,4,31-06,BROADWAY,ASTORIA,NY,11106,7182789714,47,"31-06 BROADWAY, ASTORIA, NY 11106"
40593352,S S CALABRO PIZZERIA,4,30-65,14 STREET,ASTORIA,NY,11102,7182785262,63,"30-65 14 STREET, ASTORIA, NY 11102"
40596549,POLLOS ALA BARASA MARIO,4,40-19,BROADWAY,ASTORIA,NY,11103,7189322424,53,"40-19 BROADWAY, ASTORIA, NY 11103"
40601254,ALADDIN,4,29-06,36 AVENUE,ASTORIA,NY,11106,7187842554,44,"29-06 36 AVENUE, ASTORIA, NY 11106"
40601687,"DUNKIN' DONUTS, BASKIN ROBBINS",4,33-28,21 STREET,ASTORIA,NY,11106,7187283250,29,"33-28 21 STREET, ASTORIA, NY 11106"
40605770,DUNKIN' DONUTS,4,30-45,STEINWAY STREET,ASTORIA,NY,11103,7187217888,29,"30-45 STEINWAY STREET, ASTORIA, NY 11103"
40611134,CAPRICE,4,31-08,ASTORIA BOULEVARD,ASTORIA,NY,11102,7189567200,03,"31-08 ASTORIA BOULEVARD, ASTORIA, NY 11102"
40611258,POLITO'S PIZZA,4,38-12,BROADWAY,ASTORIA,NY,11103,7186266344,62,"38-12 BROADWAY, ASTORIA, NY 11103"
40620422,MCDONALD'S,4,31-46,21 STREET,ASTORIA,NY,11106,7185450294,39,"31-46 21 STREET, ASTORIA, NY 11106"
40639406,TASTY FAST FOOD,4,25-12,34 AVENUE,ASTORIA,NY,11106,7184820015,62,"25-12 34 AVENUE, ASTORIA, NY 11106"
40644635,BRICK CAFE,4,30-95,33 STREET,ASTORIA,NY,11102,7182672735,03,"30-95 33 STREET, ASTORIA, NY 11102"
40648719,POPEYES CHICKEN & BISCUITS,4,3214,STEINWAY STREET,ASTORIA,NY,11103,7182671880,18,"3214 STEINWAY STREET, ASTORIA, NY 11103"
40659758,ROTI BOTI RESTAURANT,4,27-09,21 STREET,ASTORIA,NY,11102,7182787888,59,"27-09 21 STREET, ASTORIA, NY 11102"
40662349,SANFORD RESTAURANT,4,30-13,BROADWAY,ASTORIA,NY,11106,7189329569,03,"30-13 BROADWAY, ASTORIA, NY 11106"
40676320,PORTOBELLO PIZZERIA,4,43-18,DITMARS BOULEVARD,ASTORIA,NY,11105,7182048766,63,"43-18 DITMARS BOULEVARD, ASTORIA, NY 11105"
40680038,CAVO,4,42-18,31 AVENUE,ASTORIA,NY,11103,7187211001,54,"42-18 31 AVENUE, ASTORIA, NY 11103"
40681290,L & M ITALIAN DELI & CATERING,4,36-08,31 STREET,ASTORIA,NY,11106,7187299120,27,"36-08 31 STREET, ASTORIA, NY 11106"
40683948,TRATTORIA L'INCONTRO,4,21-76,31 STREET,ASTORIA,NY,11105,7187213532,48,"21-76 31 STREET, ASTORIA, NY 11105"
40701605,BAHARI ESTIATORIO,4,31-14,BROADWAY,ASTORIA,NY,11106,7182048968,38,"31-14 BROADWAY, ASTORIA, NY 11106"
40707194,MICHAEL'S RESTAURANT,4,33-17,BROADWAY,ASTORIA,NY,11106,7187267474,23,"33-17 BROADWAY, ASTORIA, NY 11106"
40707818,NUEVO JARDIN DE CHINA RESTAURANT,4,32-05,BROADWAY,ASTORIA,NY,11106,7187260819,20,"32-05 BROADWAY, ASTORIA, NY 11106"
40708598,NO PARTNERS,4,29-11,21 AVENUE,ASTORIA,NY,11105,7182789839,03,"29-11 21 AVENUE, ASTORIA, NY 11105"
40711301,CHICKEN FESTIVAL,4,29-19,DITMARS BOULEVARD,ASTORIA,NY,11105,7187289696,18,"29-19 DITMARS BOULEVARD, ASTORIA, NY 11105"
40719557,FAMILY CORNER,4,21-02,31 STREET,ASTORIA,NY,11105,7182047915,03,"21-02 31 STREET, ASTORIA, NY 11105"
40720777,KALITHEA/GREEK AMERICAN SOCCER CLUB ATLAS,4,25-33,ASTORIA BOULEVARD,ASTORIA,NY,11102,7187288695,38,"25-33 ASTORIA BOULEVARD, ASTORIA, NY 11102"
40723611,SISSY MCGINTY'S,4,25-67,STEINWAY STREET,ASTORIA,NY,11103,7185454286,47,"25-67 STEINWAY STREET, ASTORIA, NY 11103"
40726984,PLAZA LOUNGE,4,29-20,30 AVENUE,ASTORIA,NY,11102,7187262447,38,"29-20 30 AVENUE, ASTORIA, NY 11102"
40729296,DINO'S PIZZA & PASTA,4,30-01,BROADWAY,ASTORIA,NY,11106,7185454775,63,"30-01 BROADWAY, ASTORIA, NY 11106"
40730678,MCCAFFREY AND BURKE,4,28-54,31 STREET,ASTORIA,NY,11102,7182789751,03,"28-54 31 STREET, ASTORIA, NY 11102"
40739013,EL MARIACHI RESTAURANT,4,33-11,BROADWAY,ASTORIA,NY,11106,7185454039,55,"33-11 BROADWAY, ASTORIA, NY 11106"
40746567,SCORPIO,4,35-15,BROADWAY,ASTORIA,NY,11106,7189568233,30,"35-15 BROADWAY, ASTORIA, NY 11106"
40747050,SAMARIA PIZZA,4,21-07,BROADWAY,ASTORIA,NY,11106,7185455304,62,"21-07 BROADWAY, ASTORIA, NY 11106"
40764527,PIZZA PALACE,4,29-29,DITMARS BOULEVARD,ASTORIA,NY,11105,7187281060,62,"29-29 DITMARS BOULEVARD, ASTORIA, NY 11105"
40781412,GAUDIO'S PIZZERIA,4,40-13,30 AVENUE,ASTORIA,NY,11103,7187212882,63,"40-13 30 AVENUE, ASTORIA, NY 11103"
40782091,STARBUCKS COFFEE,4,31-44,STEINWAY,ASTORIA,NY,11103,7182745700,14,"31-44 STEINWAY, ASTORIA, NY 11103"
40812870,KOLIBA RESTAURANT,4,31-11,23 AVENUE,ASTORIA,NY,11105,7186260430,26,"31-11 23 AVENUE, ASTORIA, NY 11105"
40823428,EL BOQUERON TAPAS BAR & RESTAURANT,4,31-01,34 AVENUE,ASTORIA,NY,11106,7189560107,80,"31-01 34 AVENUE, ASTORIA, NY 11106"
40827726,GANDHI INDIAN CUISINE,4,34-14,30 AVENUE,ASTORIA,NY,11103,7189567555,44,"34-14 30 AVENUE, ASTORIA, NY 11103"
40831148,STARBUCKS COFFEE,4,22-02,31 STREET,ASTORIA,NY,11105,7186266004,14,"22-02 31 STREET, ASTORIA, NY 11105"
40831475,ROSARIO DELI,4,22-55,31 STREET,ASTORIA,NY,11105,7187282920,48,"22-55 31 STREET, ASTORIA, NY 11105"
40856899,MCCANN'S PUB,4,36-15,DITMARS BOULEVARD,ASTORIA,NY,11105,7182782621,47,"36-15 DITMARS BOULEVARD, ASTORIA, NY 11105"
40865501,IGLOO CAFE,4,22-26,31 STREET,ASTORIA,NY,11105,7187267700,38,"22-26 31 STREET, ASTORIA, NY 11105"
40866304,DOMINO'S PIZZA,4,25-55,STEINWAY STREET,ASTORIA,NY,11103,7185453030,62,"25-55 STEINWAY STREET, ASTORIA, NY 11103"
40877247,ZORBA'S,4,29-05,23 AVENUE,ASTORIA,NY,11105,7189567266,38,"29-05 23 AVENUE, ASTORIA, NY 11105"
40901879,TAVERNA KYCLADES,4,33-07,DITMARS BOULEVARD,ASTORIA,NY,11105,7185458666,72,"33-07 DITMARS BOULEVARD, ASTORIA, NY 11105"
40912703,LIGHT BITES & GRILL,4,31-91,STEINWAY ST,ASTORIA,NY,11103,7187281133,03,"31-91 STEINWAY ST, ASTORIA, NY 11103"
40917525,BROOKLYN COFFEE & BAGELS,4,3505,BROADWAY,ASTORIA,NY,11106,7182040141,07,"3505 BROADWAY, ASTORIA, NY 11106"
40919815,DUNKIN' DONUTS,4,31-17,30 AVENUE,ASTORIA,NY,11102,7189563582,29,"31-17 30 AVENUE, ASTORIA, NY 11102"
40924880,DELICIOSO,4,23-14,36 AVENUE,ASTORIA,NY,11106,7183922848,53,"23-14 36 AVENUE, ASTORIA, NY 11106"
40929013,SAMPAN CHINESE RESTAURANT,4,28-48,STEINWAY STREET,ASTORIA,NY,11103,7182781931,20,"28-48 STEINWAY STREET, ASTORIA, NY 11103"
40929938,RENAISSANCE,4,27-34,21 STREET,ASTORIA,NY,11102,7182744590,03,"27-34 21 STREET, ASTORIA, NY 11102"
40931915,AVENUE CAFE,4,35-27,30 AVENUE,ASTORIA,NY,11103,7182786967,38,"35-27 30 AVENUE, ASTORIA, NY 11103"
40941432,NEW BALKH SHISH KABAB,4,23-10,31 STREET,ASTORIA,NY,11105,7187215020,56,"23-10 31 STREET, ASTORIA, NY 11105"
40954215,AGNANTI RESTAURANT,4,19-06,DITMARS BOULEVARD,ASTORIA,NY,11105,7185454554,38,"19-06 DITMARS BOULEVARD, ASTORIA, NY 11105"
40961099,KELLYS BAR,4,31-04,CRESCENT ST,ASTORIA,NY,11106,7182789734,03,"31-04 CRESCENT ST, ASTORIA, NY 11106"
40967098,Andrew & Frank's DELI,4,28-02,23 AVENUE,ASTORIA,NY,11105,7187289066,27,"28-02 23 AVENUE, ASTORIA, NY 11105"
40971873,BREAK BAR & BILLARDS,4,32-08,BROADWAY,ASTORIA,NY,11106,7187775400,03,"32-08 BROADWAY, ASTORIA, NY 11106"
40972071,SOHO CAFE AND GRILL,4,22-15,31 STREET,ASTORIA,NY,11105,7187288883,14,"22-15 31 STREET, ASTORIA, NY 11105"
40974020,CRESCENT LOUNGE,4,32-05,CRESCENT STREET,ASTORIA,NY,11106,7186069705,03,"32-05 CRESCENT STREET, ASTORIA, NY 11106"
40974908,LES AMIS,4,31-17,DITMARS BOULEVARD,ASTORIA,NY,11105,7187289191,38,"31-17 DITMARS BOULEVARD, ASTORIA, NY 11105"
40975256,FATTY'S CAFE,4,25-01,DITMARS BOULEVARD,ASTORIA,NY,11105,7182677071,53,"25-01 DITMARS BOULEVARD, ASTORIA, NY 11105"
40979259,BAI SUSHI,4,37-03,BROADWAY,ASTORIA,NY,11103,7189567445,49,"37-03 BROADWAY, ASTORIA, NY 11103"
40987572,"DUNKIN' DONUTS, BASKIN ROBBINS",4,29-28,HOYT AVENUE,ASTORIA,NY,11102,7187266982,29,"29-28 HOYT AVENUE, ASTORIA, NY 11102"
40990679,SUBWAY,4,43-02,DITMARS BOULEVARD,ASTORIA,NY,11105,7187281211,69,"43-02 DITMARS BOULEVARD, ASTORIA, NY 11105"
40993070,BASURERO,4,32-17,STEINWAY STREET,ASTORIA,NY,11103,7185457077,77,"32-17 STEINWAY STREET, ASTORIA, NY 11103"
40995330,TACOS MEXICOS,4,32-08,38 STREET,ASTORIA,NY,11103,7185455888,55,"32-08 38 STREET, ASTORIA, NY 11103"
40999824,WINEGASM,4,31-86,37 STREET,ASTORIA,NY,11103,7189323331,54,"31-86 37 STREET, ASTORIA, NY 11103"
41000102,31ST AVENUE GYRO,4,44-02,31 AVENUE,ASTORIA,NY,11103,7185454340,38,"44-02 31 AVENUE, ASTORIA, NY 11103"
41001182,"SUBWAY, CARVEL ICE CREAM",4,31-08,30 AVENUE,ASTORIA,NY,11102,7182746500,69,"31-08 30 AVENUE, ASTORIA, NY 11102"
41004767,SUBWAY,4,36-03 05,31 STREET,ASTORIA,NY,11106,7183615277,69,"36-03 05 31 STREET, ASTORIA, NY 11106"
41010925,RAPTURE LOUNGE,4,34-27,28 AVENUE,ASTORIA,NY,11103,7186268044,03,"34-27 28 AVENUE, ASTORIA, NY 11103"
41013436,ERA CAFE AND LOUNGE,4,36-11,30 AVENUE,ASTORIA,NY,11103,7182044900,03,"36-11 30 AVENUE, ASTORIA, NY 11103"
41014799,TELLY'S TAVERNA,4,28-11,23 AVENUE,ASTORIA,NY,11105,7187289056,38,"28-11 23 AVENUE, ASTORIA, NY 11105"
41023453,JIMBO'S BAR & RESTAURAUNT,4,30-05,ASTORIA BOULEVARD,ASTORIA,NY,11102,7182042087,03,"30-05 ASTORIA BOULEVARD, ASTORIA, NY 11102"
41031977,BROOKLYN BAGEL & COFFEE COMPANY,4,35-09,DITMARS BOULEVARD,ASTORIA,NY,11105,7189328280,14,"35-09 DITMARS BOULEVARD, ASTORIA, NY 11105"
41038244,LORUSSO,4,18-01,26 ROAD,ASTORIA,NY,11102,7187773628,62,"18-01 26 ROAD, ASTORIA, NY 11102"
41040655,25TH. DELI,4,48-19,25 AVENUE,ASTORIA,NY,11103,7182745040,27,"48-19 25 AVENUE, ASTORIA, NY 11103"
41050224,STOP DELI,4,43-01,31 AVENUE,ASTORIA,NY,11103,7182678789,27,"43-01 31 AVENUE, ASTORIA, NY 11103"
41050795,DELIGHT DONUTS,4,45-19,BROADWAY,ASTORIA,NY,11103,7186265953,03,"45-19 BROADWAY, ASTORIA, NY 11103"
41050934,IRISH ROVER,4,37-18,28 AVENUE,ASTORIA,NY,11103,7182789372,47,"37-18 28 AVENUE, ASTORIA, NY 11103"
41056299,CENSO,4,31-84,33 STREET,ASTORIA,NY,11106,7182780988,03,"31-84 33 STREET, ASTORIA, NY 11106"
41067497,NEW YORKER BAGEL,4,31-08,36 AVENUE,ASTORIA,NY,11106,7183619500,07,"31-08 36 AVENUE, ASTORIA, NY 11106"
41073631,THE QUAY,4,45-02,30 AVENUE,ASTORIA,NY,11103,7182048435,47,"45-02 30 AVENUE, ASTORIA, NY 11103"
41081705,VERONICA'S BAR,4,3404,36 AVENUE,ASTORIA,NY,11106,7187299744,47,"3404 36 AVENUE, ASTORIA, NY 11106"
41096805,MUNDO TAPAS,4,31-18,BROADWAY,ASTORIA,NY,11106,7287772829,80,"31-18 BROADWAY, ASTORIA, NY 11106"
41097459,PITA HOT,4,2515,30 AVENUE,ASTORIA,NY,11102,7189328282,56,"2515 30 AVENUE, ASTORIA, NY 11102"
41100858,FLO,4,37-20,30 AVENUE,ASTORIA,NY,11103,7182046096,54,"37-20 30 AVENUE, ASTORIA, NY 11103"
41101676,WALTZ ASTORIA,4,23-14,DITMARS BOULEVARD,ASTORIA,NY,11105,7189568742,14,"23-14 DITMARS BOULEVARD, ASTORIA, NY 11105"
41102261,MICHAELANGELO'S PIZZA 11,4,29-11,23 AVENUE,ASTORIA,NY,11105,7189322096,63,"29-11 23 AVENUE, ASTORIA, NY 11105"
41103363,COLD STONE CREAMERY / SOUP MAN,4,34-20,BROADWAY,ASTORIA,NY,11106,7182047298,43,"34-20 BROADWAY, ASTORIA, NY 11106"
41103981,GRAND CAFE,4,37-01,30 AVENUE,ASTORIA,NY,11103,7187777321,38,"37-01 30 AVENUE, ASTORIA, NY 11103"
41104041,THE SPARROW,4,24-01,29 STREET,ASTORIA,NY,11102,7186062260,03,"24-01 29 STREET, ASTORIA, NY 11102"
41108553,PAPA JOHN'S,4,23-33,ASTORIA BOULEVARD,ASTORIA,NY,11102,7187287272,62,"23-33 ASTORIA BOULEVARD, ASTORIA, NY 11102"
41110600,LA ESPIGUITA TAQUERIA,4,32-44,31 STREET,ASTORIA,NY,11106,7187771993,55,"32-44 31 STREET, ASTORIA, NY 11106"
41121747,BZ GRILL,4,27-02,ASTORIA BOULEVARD,ASTORIA,NY,11102,7189327858,38,"27-02 ASTORIA BOULEVARD, ASTORIA, NY 11102"
41123682,BROADWAY CHICKEN & RIBS.,4,2119,BROADWAY,ASTORIA,NY,11106,7182045569,18,"2119 BROADWAY, ASTORIA, NY 11106"
41126295,JOUR ET NUIT CAFE AND RESTAURANT,4,28-04,STEINWAY STREET,ASTORIA,NY,11103,7182042511,14,"28-04 STEINWAY STREET, ASTORIA, NY 11103"
41129069,WAVE THAI,4,21-37,31 STREET,ASTORIA,NY,11105,7187776789,82,"21-37 31 STREET, ASTORIA, NY 11105"
41136521,"DUNKIN' DONUTS, BASKIN ROBBINS",4,43-22,DITMARS BOULEVARD,ASTORIA,NY,11105,7182042110,29,"43-22 DITMARS BOULEVARD, ASTORIA, NY 11105"
41137340,DILLINGERS PUB & GRILL,4,46-19,30 AVENUE,ASTORIA,NY,11103,7189565601,03,"46-19 30 AVENUE, ASTORIA, NY 11103"
41138610,DANDANA,4,42-21,BROADWAY,ASTORIA,NY,11103,7182046811,54,"42-21 BROADWAY, ASTORIA, NY 11103"
41139066,HALLAL SANDWICH SHOP,4,25-61,STEINWAY STREET,ASTORIA,NY,11103,7187269262,69,"25-61 STEINWAY STREET, ASTORIA, NY 11103"
41141648,NEW MEI JIA CHINESE RESTAURANT,4,4206,30 AVENUE,ASTORIA,NY,11103,7182788296,20,"4206 30 AVENUE, ASTORIA, NY 11103"
41142196,UKUS CAFE,4,42-08,30 AVENUE,ASTORIA,NY,11103,7182678587,30,"42-08 30 AVENUE, ASTORIA, NY 11103"
41143087,LOCALE,4,33-02,34 AVENUE,ASTORIA,NY,11106,7187299080,48,"33-02 34 AVENUE, ASTORIA, NY 11106"
41146469,ANI PIZZA,4,43-18,25 AVENUE,ASTORIA,NY,11103,7182788006,62,"43-18 25 AVENUE, ASTORIA, NY 11103"
41147269,HUNAN CHINESE RESTAURANT,4,24-14,34 AVENUE,ASTORIA,NY,11106,7189374958,20,"24-14 34 AVENUE, ASTORIA, NY 11106"
41148300,STOVE,4,45-17,28 AVENUE,ASTORIA,NY,11103,7189560372,03,"45-17 28 AVENUE, ASTORIA, NY 11103"
41148741,FIVE CORNERS DELI,4,25-53,18 STREET,ASTORIA,NY,11102,7187285668,27,"25-53 18 STREET, ASTORIA, NY 11102"
41150814,BILLIARD ROOM,4,35-21,30 AVENUE,ASTORIA,NY,11103,7185458100,03,"35-21 30 AVENUE, ASTORIA, NY 11103"
41154087,CHRISTOS STEAKHOUSE,4,4108,23 AVENUE,ASTORIA,NY,11105,7187265195,03,"4108 23 AVENUE, ASTORIA, NY 11105"
