TypeEx,Name,Description,URL,Rating,Category,Keywords,Comments,Uid
Tabular,2007-08 Class Size - School-level Detail (Education/2007-08-Class-Size-School-level-Detail/i8ys-e4pm),"This file shows average class sizes and the size of the smallest and largest class for each school, by grade and program type (General Education, Self-Contained Special Education, Collaborative Team Teaching (CTT)) for grades K-9 (where grade 9 is not reported by subject area), and for grades 9-12, aggregated by program type (General Education, CTT, and Self-Contained Special Education) and core course (e.g. English 9, Math A, US History, etc.).
Data as of January 23, 2008
*Where ninth grade data is not reported by grade",https://data.cityofnewyork.us/Education/2007-08-Class-Size-School-level-Detail/i8ys-e4pm,0,Education,,0,i8ys-e4pm
Tabular,2008-09 Class Size - School-level Detail (Education/2008-09-Class-Size-School-level-Detail/6wcu-cfa3),"This file shows average class sizes and size of smallest and largest class for each school, broken out by grade and program type (General Education, Self-Contained Special Education, Collaborative Team Teaching (CTT)) for grades K-9 (where grade 9 is not reported by subject area), and for grades 5-9 (where available) and 9-12, aggregated by program type (General Education, CTT, and Self-Contained Special Education) and core course (e.g. English 9, Math A, US History, etc.).
Official class size data for grades K-9* is based on October 31, 2008 Audited Registers; Core course class size data for MS CORE and grades 9-12 is based on January 23, 2009 active registers.
*Where ninth grade data is not reported by core course
- For middle schools using MSPA (ATS) or HSST to program, average class size is reported by core course, as well as by official class.														
- For high schools, sections with matching day, period, room and core subject, and combined enrollment less than 34 are assumed to be co-teaching situations.  In the report, duplicated sections are subtracted as ""MATCHED SECTIONS"" and paired sections are added back as ""ASSUMED TEAM TEACHING"".",https://data.cityofnewyork.us/Education/2008-09-Class-Size-School-level-Detail/6wcu-cfa3,0,Education,,0,6wcu-cfa3
Tabular,2009 birth names (Female Black Non Hispanic) (Health/2009-birth-names-Female-Black-Non-Hispanic-/7vcw-nwnp),Popular NYC birth names sorted by sex and ethnicity,https://data.cityofnewyork.us/Health/2009-birth-names-Female-Black-Non-Hispanic-/7vcw-nwnp,0,Health,"health, popular, names, black, african-american, non hispanic, 2009, female",0,7vcw-nwnp
Map,Map of NYC Fire Houses (Public-Safety/Map-of-NYC-Fire-Houses/pg99-2ihy),Listing of all the fire houses in New York City,https://data.cityofnewyork.us/Public-Safety/Map-of-NYC-Fire-Houses/pg99-2ihy,0,Public Safety,"fire department, fdny, fd, fires, community board, station, fire station, fire house, emergency, 911",0,pg99-2ihy
Tabular,2009 birth names (Female White Non Hispanic) (Health/2009-birth-names-Female-White-Non-Hispanic-/syjw-fyuz),Popular NYC birth names sorted by sex and ethnicity,https://data.cityofnewyork.us/Health/2009-birth-names-Female-White-Non-Hispanic-/syjw-fyuz,0,Health,"birth names, white, non hispanic, health, popular",0,syjw-fyuz
Tabular,"2009 birth names (Female, Hispanic) (Health/2009-birth-names-Female-Hispanic-/y2c9-d6s8)",Popular NYC birth names sorted by sex and ethnicity,https://data.cityofnewyork.us/Health/2009-birth-names-Female-Hispanic-/y2c9-d6s8,0,Health,"popular, health, names, female, hispanic, dohmh",0,y2c9-d6s8
Map,Political & Election Districts GIS: Election Districts (Government/Political-Election-Districts-GIS-Election-District/ca9i-a7nu),GIS data: Boundaries of Election Districts,https://data.cityofnewyork.us/Government/Political-Election-Districts-GIS-Election-District/ca9i-a7nu,0,Government,"political & election districts gis: election districts, dcp, geographic, voting, location, map, cartography, district, boundary, elect, election",3,ca9i-a7nu
Blob,Museums and galleries (Cultural-Affairs/Museums-and-galleries/kcrm-j9hh),NYC and Co. museums and galleries,https://data.cityofnewyork.us/Cultural-Affairs/Museums-and-galleries/kcrm-j9hh,80,Cultural Affairs,"new york, nycgo, new york & company, new york & co., co., museum, museums, gallery, galleries, xml, data, nyc, the city",0,kcrm-j9hh
Blob,Privately Owned Public Spaces (Property/Privately-Owned-Public-Spaces/fum3-ejky),Database with detailed information about all public spaces in all boroughs that was created as a result of the City's incentive zoning program,https://data.cityofnewyork.us/Property/Privately-Owned-Public-Spaces/fum3-ejky,0,Property,"zoning, database, public, space, zone, incentive, private, dcp, privately owned public spaces",3,fum3-ejky
Tabular,2009 birth names (Male and Asian Pacific Islander) (Health/2009-birth-names-Male-and-Asian-Pacific-Islander-/2ux4-kxx8),Popular NYC birth names sorted by name and ethnicity,https://data.cityofnewyork.us/Health/2009-birth-names-Male-and-Asian-Pacific-Islander-/2ux4-kxx8,0,Health,"health, names, popular, data, asian, pacific, islander, male",0,2ux4-kxx8
Map,Building Perimeter Outlines (Facilities-and-Structures/Building-Perimeter-Outlines/r7fd-yd5e),Polygon representing the perimeter outline of the buildings.,https://data.cityofnewyork.us/Facilities-and-Structures/Building-Perimeter-Outlines/r7fd-yd5e,0,Facilities and Structures,"geographic, location, map, cartography, property, building, perimeter",0,r7fd-yd5e
Map,Police Precincts (Public-Safety/Police-Precincts/p6tc-6epw),GIS data: Boundaries of Police Precincts,https://data.cityofnewyork.us/Public-Safety/Police-Precincts/p6tc-6epw,0,Public Safety,"police precincts, dcp, geographic, location, map, cartography, safety, crime, boundary, police, policeman, cop, division, precinct, precincts, gis, jurisdiction, school, health, fire & police gis: police precincts",2,p6tc-6epw
Tabular,2009 birth names (Male Black Non Hispanic) (Health/2009-birth-names-Male-Black-Non-Hispanic-/xjkm-mhw7),Popular NYC birth names sorted by sex and ethnicity,https://data.cityofnewyork.us/Health/2009-birth-names-Male-Black-Non-Hispanic-/xjkm-mhw7,0,Health,"health, popular, names, dohmh, black, african-american, non hispanic",0,xjkm-mhw7
Tabular,2009 birth names (Male White Non Hispanic) (Health/2009-birth-names-Male-White-Non-Hispanic-/hmiz-c43d),Popular NYC birth names sorted by sex and ethnicity),https://data.cityofnewyork.us/Health/2009-birth-names-Male-White-Non-Hispanic-/hmiz-c43d,0,Health,"health, names, non hispanic, male, poular, dohmh",0,hmiz-c43d
Tabular,"2009 Birth Names (Male, Hispanic) (Health/2009-Birth-Names-Male-Hispanic-/mhkv-ufhj)",Popular NYC birth names sorted by sex and ethnicity,https://data.cityofnewyork.us/Health/2009-Birth-Names-Male-Hispanic-/mhkv-ufhj,0,Health,"health, names, male, hispanic, dohmh, popular",0,mhkv-ufhj
Tabular,2009 Campaign Contributions (Government/2009-Campaign-Contributions/bbs3-q5us),A listing of campaign contributions for candidates for City office during the 209 election cycle,https://data.cityofnewyork.us/Government/2009-Campaign-Contributions/bbs3-q5us,0,Government,"finance, campaign finance board, cfb, nyccfb, campaign finance, elections, contributions, politics, campaign, funding",0,bbs3-q5us
Tabular,2009 Campaign Expenditures (Government/2009-Campaign-Expenditures/vg63-xw6u),A listing of campaign expenditures for candidates for City office during the 2009 election cycle,https://data.cityofnewyork.us/Government/2009-Campaign-Expenditures/vg63-xw6u,0,Government,"finance, campaign finance board, cfb, nyccfb, campaign finance, elections, contributions, politics, campaign, funding",0,vg63-xw6u
Map,Roadbed (Facilities-and-Structures/Roadbed/448k-492a),Planimetric basemap polygon layer containing roadbed features.,https://data.cityofnewyork.us/Facilities-and-Structures/Roadbed/448k-492a,0,Facilities and Structures,"doitt gis, geographic, location, map, cartography, transportation, roadbed, road",0,448k-492a
Tabular,2009 Campaign Payment (Government/2009-Campaign-Payment/vyxt-abab),A listing of public funds payments for candidates for City office during the 2009,https://data.cityofnewyork.us/Government/2009-Campaign-Payment/vyxt-abab,0,Government,"finance, campaign finance board, cfb, nyccfb, campaign finance, elections, contributions, politics, campaign, funding",0,vyxt-abab
Tabular,2009 Popular Birth Names (Female) (Health/2009-Popular-Birth-Names-Female-/pq6r-ezsn),Popular NYC female birth names,https://data.cityofnewyork.us/Health/2009-Popular-Birth-Names-Female-/pq6r-ezsn,0,Health,"names, women, female, popular, health, girls",0,pq6r-ezsn
Tabular,2009 Popular Birth Names (Male) (Health/2009-Popular-Birth-Names-Male-/kx9w-bns7),Popular NYC male birth names,https://data.cityofnewyork.us/Health/2009-Popular-Birth-Names-Male-/kx9w-bns7,0,Health,"popular names, name, health, males, boys",0,kx9w-bns7
Tabular,2009-10 Class Size - School-level Detail (Education/2009-10-Class-Size-School-level-Detail/d3ge-anaz),"This file shows average class sizes, pupil-teacher ratio, and size of largest and smallest classes for each school, broken out by grade and program type (General Education, Self-Contained Special Education, Collaborative Team Teaching (CTT)) for grades K-9 (where grade 9 is not reported by subject area), and for grades 5-9 (where available) and 9-12, aggregated by program type (General Education, CTT, and Self-Contained Special Education) and core course (e.g. English 9, Math A, US History, etc.)
Based on January 27, 2010 data.
* Grade 9 Official Class data is included for 0K-09 schools. Core Course information for these sections is not reported.",https://data.cityofnewyork.us/Education/2009-10-Class-Size-School-level-Detail/d3ge-anaz,0,Education,,0,d3ge-anaz
Tabular,2010 & 2011 NYC Municipal Building Energy Benchmarking Results (Government/2010-2011-NYC-Municipal-Building-Energy-Benchmarki/vvj6-d5qx),"This is an Excel file with a list of New York City municipal buildings over 10,000 square feet by borough, block, lot, and agency, identifying each buildingâ€™s energy intensity (kBtu/sq. ft.), Portfolio Manager benchmarking rating, where available, and the total GHG emissions for the calendar years 2010 & 2011.",https://data.cityofnewyork.us/Government/2010-2011-NYC-Municipal-Building-Energy-Benchmarki/vvj6-d5qx,0,Government,"2011, 2010, nyc, 2010 nyc municipal building energy benchmarking results, benchmark, energy, energy intensity, emissions, municipal building, block, lot, 2010 & 2011 nyc municipal building energy benchmarking results",1,vvj6-d5qx
External,2010 Census Tracts (water areas included) (Government/2010-Census-Tracts-water-areas-included-/9p65-n8ct),GIS data: Boundaries of 2010 Census Tracts (water areas included),https://data.cityofnewyork.us/Government/2010-Census-Tracts-water-areas-included-/9p65-n8ct,0,Government,"2010 census tracts (water areas included), dcp, city planning, census, water areas",0,9p65-n8ct
Map,Business Improvement District Boundaries (Business-and-Economic/Business-Improvement-District-Boundaries/zygq-45iu),Polygon representing the boundary of the Business Improvement Districts.,https://data.cityofnewyork.us/Business-and-Economic/Business-Improvement-District-Boundaries/zygq-45iu,0,Business and Economic,"geographic, location, map, cartography, property, business, economic, boundary, improvement, district, doitt gis",0,zygq-45iu
Map,wifi heat map (Media/wifi-heat-map/3sp3-p8m5),Location of wifi hotspots in the city with basic descriptive information.,https://data.cityofnewyork.us/Media/wifi-heat-map/3sp3-p8m5,0,Media,"geographic, location, map, cartography, services, wifi, wireless, hot spot, access, telecommunication",0,3sp3-p8m5
Map,GIS Oil Boilers (Facilities-and-Structures/GIS-Oil-Boilers/nmvx-k2da),"Detailed data on NYC buildings with oil boilers, including fuel consumption, BBL, building owner/management info, deadline for complying with Audit and Retrocommissioning Law, building type and year constructed, number of floors and residential units, Condo/Coop status, and more.",https://data.cityofnewyork.us/Facilities-and-Structures/GIS-Oil-Boilers/nmvx-k2da,0,Facilities and Structures,"energy, power, environment, planning, construction, housing, property",0,nmvx-k2da
Map,wifi heat map (Media/wifi-heat-map/9t6p-zyhy),Location of wifi hotspots in the city with basic descriptive information.,https://data.cityofnewyork.us/Media/wifi-heat-map/9t6p-zyhy,0,Media,"geographic, location, map, cartography, services, wifi, wireless, hot spot, access, telecommunication",0,9t6p-zyhy
